run_id,condition,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,phase,block,trial,rewarded,image,unrewarded_left_trials,unrewarded_right_trials,task,correct_shape,response,correct,did_reward,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
2,1,978.6300000268966,"<img src=""7C_10S_yellow5.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,20,27222,0.0-1.0-0.0-1.4,practice,null,null,null,7C_10S_yellow5.jpg,0,0,respond,squares,circles,false,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,null,null,audio-keyboard-response,21,28729,0.0-1.0-0.0-2.4,practice,"""","""","""","""","""","""",accuracy-feedback,"""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,22,30239,0.0-1.0-0.0-3.4-0.4,practice,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,23,30751,0.0-1.0-0.0-0.5,practice,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,825.6200000178069,"<img src=""7S_10C_yellow3.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,24,31580,0.0-1.0-0.0-1.5,practice,null,null,null,7S_10C_yellow3.jpg,0,0,respond,circles,circles,true,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,25,33084,0.0-1.0-0.0-2.5,practice,"""","""","""","""","""","""",accuracy-feedback,"""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,26,34595,0.0-1.0-0.0-3.5-0.5,practice,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,27,35107,0.0-1.0-0.0-0.6,practice,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,664.2899999860674,"<img src=""7C_10S_yellow4.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,28,35776,0.0-1.0-0.0-1.6,practice,null,null,null,7C_10S_yellow4.jpg,0,0,respond,squares,squares,true,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,29,37280,0.0-1.0-0.0-2.6,practice,"""","""","""","""","""","""",accuracy-feedback,"""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,30,38787,0.0-1.0-0.0-3.6-0.6,practice,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,31,39300,0.0-1.0-0.0-0.7,practice,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,1012.7450000145473,"<img src=""7S_10C_yellow1.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,32,40315,0.0-1.0-0.0-1.7,practice,null,null,null,7S_10C_yellow1.jpg,0,0,respond,circles,circles,true,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,33,41826,0.0-1.0-0.0-2.7,practice,"""","""","""","""","""","""",accuracy-feedback,"""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,34,43336,0.0-1.0-0.0-3.7-0.7,practice,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,1949.2949999985285,"<p>Would you like to practice more? y = yes, n = no</p>",78,html-keyboard-response,35,45295,0.0-1.0-1.0,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,2049.8999999836087,"<p>For some trials, a correct identification will result in a monetary reward of 20 cents.</p>
          <p>Press the spacebar to see what this will look like.</p>",32,html-keyboard-response,36,47347,0.0-2.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,37,48854,0.0-2.0-1.0,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,7981.255000049714,"<p><span style=""color:red; font-weight:bold;"">Not all</span> correct responses will receive a reward.</p><p>At the end of the experiment you will be given the amount of money you have accumulated. The more correct identifications
          you make, the more money you will take home.</p><p>Press the spacebar to continue.</p>",32,html-keyboard-response,38,56837,0.0-2.0-2.0,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,4011.1800000304356,"<p>We are now ready to begin the experiment.</p>
        <p>Remember, focus your attention on the fixation cross before each trial. If you think there are more circles
        press the ""A"" key. If you think there are more squares press the ""L"" key.</p>
        <p>Good luck!</p>
        <p>Press the spacebar to begin.</p>",32,html-keyboard-response,39,60852,0.0-2.0-3.0,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,40,61368,0.0-3.0-0.0-0.0,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,1038.0000000004657,"<img src=""7S_10C_yellow6.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,41,62411,0.0-3.0-0.0-1.0,test,1,1,0,7S_10C_yellow6.jpg,0,0,respond,circles,circles,true,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,42,63920,0.0-3.0-0.0-3.0-0.0,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,43,64432,0.0-3.0-0.0-0.1,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,776.079999981448,"<img src=""7C_10S_yellow5.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,44,65214,0.0-3.0-0.0-1.1,test,1,2,1,7C_10S_yellow5.jpg,0,0,respond,squares,circles,false,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,45,66727,0.0-3.0-0.0-3.1-0.1,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,46,67238,0.0-3.0-0.0-0.2,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,1252.0600000279956,"<img src=""7S_10C_yellow6.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,47,68496,0.0-3.0-0.0-1.2,test,1,3,0,7S_10C_yellow6.jpg,0,1,respond,circles,squares,false,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,48,69999,0.0-3.0-0.0-3.2-0.2,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,49,70512,0.0-3.0-0.0-0.3,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,705.7050000294112,"<img src=""7C_10S_yellow3.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,50,71220,0.0-3.0-0.0-1.3,test,1,4,1,7C_10S_yellow3.jpg,0,1,respond,squares,squares,true,true,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,51,72733,0.0-3.0-0.0-2.3-0.3,test,1,"""","""","""","""","""",reward-feedback,"""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,52,73245,0.0-3.0-0.0-0.4,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,991.3599999854341,"<img src=""7S_10C_yellow7.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,53,74239,0.0-3.0-0.0-1.4,test,1,5,0,7S_10C_yellow7.jpg,0,1,respond,circles,circles,true,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,54,75752,0.0-3.0-0.0-3.4-0.4,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,55,76263,0.0-3.0-0.0-0.5,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,742.0300000230782,"<img src=""7S_10C_yellow7.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,56,77007,0.0-3.0-0.0-1.5,test,1,6,0,7S_10C_yellow7.jpg,0,1,respond,circles,squares,false,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,57,78518,0.0-3.0-0.0-3.5-0.5,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
